,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
73,bunyavirus group c disease,group c viruses geograpically limited tropical subtropical areas americas first described brazilian amazon 1950s,denguelike fever headache malaise arthralgia myalgia 2 5 days occasionally nausea vomiting lower limb weakness conjunctivitis photophobia rash,mosquito bite direct persontoperson transmission,spherical enveloped orthobunyaviruses,3–12 days,igm capture igg elisas commonly used paired acute convalescent sera,"['group', 'c', 'viruses', 'geograpically', 'limited', 'tropical', 'subtropical', 'areas', 'americas', 'first', 'described', 'brazilian', 'amazon', '1950s']","[('group', 'NN'), ('c', 'VBZ'), ('viruses', 'NNS'), ('geograpically', 'RB'), ('limited', 'JJ'), ('tropical', 'JJ'), ('subtropical', 'JJ'), ('areas', 'NNS'), ('americas', 'VBP'), ('first', 'RB'), ('described', 'VBN'), ('brazilian', 'JJ'), ('amazon', 'NN'), ('1950s', 'CD')]","[Synset('group.n.01'), None, Synset('virus.n.01'), None, Synset('limited.a.01'), Synset('tropical.s.01'), Synset('subtropical.a.01'), Synset('area.n.01'), None, Synset('first.r.01'), Synset('describe.v.01'), Synset('brazilian.a.01'), Synset('amazon.n.01'), None]"
74,california group virus disease,lacv primary cause arboviral encephalitis children usa jcv commonly found around great lakes usa canada jcv vectors prefer hilly woodlands breed ponds april june,fever headache vomiting sometimes progressing acute cns respiratory involvement,mosquito bite,spherical enveloped negative sense rna viruses,usually 5–15 days,serology igm igg elisa acute convalescent sera crossreactivity exists leading misidentification,"['lacv', 'primary', 'cause', 'arboviral', 'encephalitis', 'children', 'usa', 'jcv', 'commonly', 'found', 'around', 'great', 'lakes', 'usa', 'canada', 'jcv', 'vectors', 'prefer', 'hilly', 'woodlands', 'breed', 'ponds', 'april', 'june']","[('lacv', 'JJ'), ('primary', 'NN'), ('cause', 'NN'), ('arboviral', 'JJ'), ('encephalitis', 'NN'), ('children', 'NNS'), ('usa', 'JJ'), ('jcv', 'NN'), ('commonly', 'RB'), ('found', 'VBD'), ('around', 'IN'), ('great', 'JJ'), ('lakes', 'NNS'), ('usa', 'VBP'), ('canada', 'JJ'), ('jcv', 'NN'), ('vectors', 'NNS'), ('prefer', 'VBP'), ('hilly', 'RB'), ('woodlands', 'NNS'), ('breed', 'VBP'), ('ponds', 'NNS'), ('april', 'VBP'), ('june', 'NN')]","[None, Synset('primary.n.01'), Synset('cause.n.01'), None, Synset('encephalitis.n.01'), Synset('child.n.01'), None, None, Synset('normally.r.01'), Synset('establish.v.01'), None, Synset('great.s.01'), Synset('lake.n.01'), None, None, None, Synset('vector.n.01'), Synset('prefer.v.01'), None, Synset('forest.n.02'), Synset('engender.v.01'), Synset('pond.n.01'), None, Synset('june.n.01')]"
75,chikungunya fever,chikv endemic africa centuries typically causing small epidemics rural areas chikv spread asia within last 60 years producing urban outbreaks similar dengue fever involving ae egypti,fever chills fatigue transient maculopapular rash constant polyarthralgiaarthritis small joints hands wrists ankles feet neurological cardiac hepatic complications rare,mosquito bite,chikungunya virus chikv,3–7 days range 1–12 days,rtpcr whole blood virus isolation 5 days igm elisa serum,"['chikv', 'endemic', 'africa', 'centuries', 'typically', 'causing', 'small', 'epidemics', 'rural', 'areas', 'chikv', 'spread', 'asia', 'within', 'last', '60', 'years', 'producing', 'urban', 'outbreaks', 'similar', 'dengue', 'fever', 'involving', 'ae', 'egypti']","[('chikv', 'NN'), ('endemic', 'JJ'), ('africa', 'NN'), ('centuries', 'NNS'), ('typically', 'RB'), ('causing', 'VBG'), ('small', 'JJ'), ('epidemics', 'NNS'), ('rural', 'JJ'), ('areas', 'NNS'), ('chikv', 'VBP'), ('spread', 'NN'), ('asia', 'NN'), ('within', 'IN'), ('last', 'JJ'), ('60', 'CD'), ('years', 'NNS'), ('producing', 'VBG'), ('urban', 'JJ'), ('outbreaks', 'NNS'), ('similar', 'JJ'), ('dengue', 'NN'), ('fever', 'NN'), ('involving', 'VBG'), ('ae', 'NN'), ('egypti', 'NN')]","[None, Synset('endemic.a.01'), Synset('africa.n.01'), Synset('century.n.01'), Synset('typically.r.01'), Synset('cause.v.01'), Synset('small.a.01'), Synset('epidemic.n.01'), Synset('rural.a.01'), Synset('area.n.01'), None, Synset('spread.n.01'), Synset('asia.n.01'), None, Synset('last.s.01'), None, Synset('old_age.n.01'), Synset('produce.v.01'), Synset('urban.a.01'), Synset('outbreak.n.01'), Synset('similar.a.01'), Synset('dengue.n.01'), Synset('fever.n.01'), Synset('involve.v.01'), None, None]"
76,colorado tick fever,colorado tick fever present north america usa canada human cases detected march september rocky mountain region usa,spleen liver palpable pericarditis myocarditis may found cases petechial maculopapular rash prolonged convalescence may follow,tick bite blood transfusion bone marrow transplantation,colorado tick fever virus ctfv prototype virus genus coltivirus family reoviridae,1–19 days average 3–4 days depending infecting dose viremia humans may last 4 months,serology igm elisa ifa erythrocytes,"['colorado', 'tick', 'fever', 'present', 'north', 'america', 'usa', 'canada', 'human', 'cases', 'detected', 'march', 'september', 'rocky', 'mountain', 'region', 'usa']","[('colorado', 'NN'), ('tick', 'NN'), ('fever', 'NN'), ('present', 'JJ'), ('north', 'RB'), ('america', 'JJ'), ('usa', 'JJ'), ('canada', 'NN'), ('human', 'JJ'), ('cases', 'NNS'), ('detected', 'VBD'), ('march', 'JJ'), ('september', 'NN'), ('rocky', 'JJ'), ('mountain', 'NN'), ('region', 'NN'), ('usa', 'NN')]","[Synset('colorado.n.01'), Synset('tick.n.01'), Synset('fever.n.01'), Synset('present.a.01'), Synset('north.r.01'), None, None, Synset('canada.n.01'), Synset('human.a.01'), Synset('case.n.01'), Synset('detect.v.01'), None, Synset('september.n.01'), Synset('rocky.s.01'), Synset('mountain.n.01'), Synset('region.n.01'), Synset('united_states.n.01')]"
77,crimean–congo hemorrhagic fever,disease limited geographically range vector tick hyalomma spp occur americas oceania historically tick appear 50 n latitude possibly due changes climate environment tick cchfv outbreaks occurred latitude,sudden onset fever malaise weakness irritability headache severe pain limbs loins marked anorexia occasionally vomiting abdominal pain diarrhea hemorrhage oropharynx nose lungs uterus intestines hematomas echymosis petechiae hematuria albuminuria,tick bite larval ticks carried migrating birds refractory virus,crimeancongo hemorrhagic fever virus cchfv,1–12 days usually 3–7,rtpcr antigen detection serology igm elisa,"['disease', 'limited', 'geographically', 'range', 'vector', 'tick', 'hyalomma', 'spp', 'occur', 'americas', 'oceania', 'historically', 'tick', 'appear', '50', 'n', 'latitude', 'possibly', 'due', 'changes', 'climate', 'environment', 'tick', 'cchfv', 'outbreaks', 'occurred', 'latitude']","[('disease', 'NN'), ('limited', 'VBD'), ('geographically', 'RB'), ('range', 'JJ'), ('vector', 'NN'), ('tick', 'NN'), ('hyalomma', 'NN'), ('spp', 'NN'), ('occur', 'VBP'), ('americas', 'IN'), ('oceania', 'NN'), ('historically', 'RB'), ('tick', 'JJ'), ('appear', 'VBP'), ('50', 'CD'), ('n', 'JJ'), ('latitude', 'NN'), ('possibly', 'RB'), ('due', 'JJ'), ('changes', 'NNS'), ('climate', 'VBP'), ('environment', 'NN'), ('tick', 'NN'), ('cchfv', 'NN'), ('outbreaks', 'NNS'), ('occurred', 'VBD'), ('latitude', 'NN')]","[Synset('disease.n.01'), Synset('restrict.v.03'), Synset('geographically.r.01'), None, Synset('vector.n.01'), Synset('tick.n.01'), None, None, Synset('happen.v.01'), None, Synset('oceania.n.01'), Synset('historically.r.01'), None, Synset('look.v.02'), None, None, Synset('latitude.n.01'), Synset('possibly.r.01'), Synset('due.a.01'), Synset('change.n.01'), None, Synset('environment.n.01'), Synset('tick.n.01'), None, Synset('outbreak.n.01'), Synset('happen.v.01'), Synset('latitude.n.01')]"
78,dengue,global dengue distribution follows vector presence introduction virus occurs basically 10 c isotherms strong seasonality correlated rainy season produces marked increase vectors,severe headache severe headache myalgia arthralgia retroorbital pain anorexia nausea vomiting maculopapular rash easily seen dark skin cases recover minor occurrence petechiae epistaxis gingival bleeding may seen,mosquito bite,dengue virus denv enveloped rna virus genus flavivirus family flaviviridae,3–14 days usually 4–7 days,igm capture elisa ns1 antigen test rtpcr blood tissue virus isolation mosquitoes mosquito cell culture ifa,"['global', 'dengue', 'distribution', 'follows', 'vector', 'presence', 'introduction', 'virus', 'occurs', 'basically', '10', 'c', 'isotherms', 'strong', 'seasonality', 'correlated', 'rainy', 'season', 'produces', 'marked', 'increase', 'vectors']","[('global', 'JJ'), ('dengue', 'NN'), ('distribution', 'NN'), ('follows', 'VBZ'), ('vector', 'NN'), ('presence', 'NN'), ('introduction', 'NN'), ('virus', 'NN'), ('occurs', 'VBZ'), ('basically', 'RB'), ('10', 'CD'), ('c', 'NNS'), ('isotherms', 'NNS'), ('strong', 'JJ'), ('seasonality', 'NN'), ('correlated', 'VBN'), ('rainy', 'JJ'), ('season', 'NN'), ('produces', 'VBZ'), ('marked', 'JJ'), ('increase', 'NN'), ('vectors', 'NNS')]","[Synset('global.s.01'), Synset('dengue.n.01'), Synset('distribution.n.01'), Synset('follow.v.01'), Synset('vector.n.01'), Synset('presence.n.01'), Synset('introduction.n.01'), Synset('virus.n.01'), Synset('happen.v.01'), Synset('basically.r.01'), None, Synset('degree_centigrade.n.01'), Synset('isotherm.n.01'), Synset('strong.a.01'), None, Synset('correlate.v.01'), Synset('showery.s.01'), Synset('season.n.01'), Synset('produce.v.01'), Synset('marked.s.01'), Synset('addition.n.03'), Synset('vector.n.01')]"
79,eastern equine encephalitis,usa average 6 neuroinvasive cases eee reported annually incidence similar among different age groups ethnicities twice high among men persons 50 15 greatest risk developing severe disease,sudden onset high fever headache chills vomiting myalgias photophobia dysthesias 50–90 apparent cases develop encephalitis,mosquito bite direct persontoperson transmission,eastern equine encephalitis virus eeev,4–10 days,igm antibody detection csf neutralization test paired acute convalescent sera rtpcr,"['usa', 'average', '6', 'neuroinvasive', 'cases', 'eee', 'reported', 'annually', 'incidence', 'similar', 'among', 'different', 'age', 'groups', 'ethnicities', 'twice', 'high', 'among', 'men', 'persons', '50', '15', 'greatest', 'risk', 'developing', 'severe', 'disease']","[('usa', 'JJ'), ('average', 'JJ'), ('6', 'CD'), ('neuroinvasive', 'JJ'), ('cases', 'NNS'), ('eee', 'RB'), ('reported', 'VBD'), ('annually', 'RB'), ('incidence', 'JJ'), ('similar', 'JJ'), ('among', 'IN'), ('different', 'JJ'), ('age', 'NN'), ('groups', 'NNS'), ('ethnicities', 'NNS'), ('twice', 'RB'), ('high', 'JJ'), ('among', 'IN'), ('men', 'NNS'), ('persons', 'NNS'), ('50', 'CD'), ('15', 'CD'), ('greatest', 'JJS'), ('risk', 'NN'), ('developing', 'VBG'), ('severe', 'JJ'), ('disease', 'NN')]","[None, Synset('average.s.01'), None, None, Synset('case.n.01'), None, Synset('report.v.01'), Synset('annually.r.01'), None, Synset('similar.a.01'), None, Synset('different.a.01'), Synset('age.n.01'), Synset('group.n.01'), Synset('ethnicity.n.01'), Synset('twice.r.01'), Synset('high.a.01'), None, Synset('work_force.n.01'), Synset('person.n.01'), None, None, Synset('greatest.s.01'), Synset('hazard.n.01'), Synset('develop.v.01'), Synset('severe.s.01'), Synset('disease.n.01')]"
80,ebola marburg virus disease,ebola viruses except restv endemic tropical rain forests equatorial africa cases imported endemic countries south africa switzerland laboratory infections occurred uk russia,sudden onset fever chills malaise myalgia headache followed pharyngitis vomiting diarrhea maculopapular rash severe cases internal external hemorrhages cns involvement multiorgan failure leading terminal shock,outbreaks associated consumption contact diverse nonhuman primates suggesting transmission could occur bats monkeys humans exposure contaminated body fluids direct persontoperson contact,family filoviridae order mononegavirales enveloped singlestranded negativesense rna viruses,2–21 days,igm elisa rtpcr virus isolation used acute specimens convalescence antibody tests,"['ebola', 'viruses', 'except', 'restv', 'endemic', 'tropical', 'rain', 'forests', 'equatorial', 'africa', 'cases', 'imported', 'endemic', 'countries', 'south', 'africa', 'switzerland', 'laboratory', 'infections', 'occurred', 'uk', 'russia']","[('ebola', 'NN'), ('viruses', 'NNS'), ('except', 'IN'), ('restv', 'JJ'), ('endemic', 'JJ'), ('tropical', 'JJ'), ('rain', 'NN'), ('forests', 'NNS'), ('equatorial', 'VBP'), ('africa', 'JJ'), ('cases', 'NNS'), ('imported', 'VBN'), ('endemic', 'JJ'), ('countries', 'NNS'), ('south', 'VBP'), ('africa', 'JJ'), ('switzerland', 'NN'), ('laboratory', 'NN'), ('infections', 'NNS'), ('occurred', 'VBD'), ('uk', 'JJ'), ('russia', 'NN')]","[Synset('ebola_hemorrhagic_fever.n.01'), Synset('virus.n.01'), None, None, Synset('endemic.a.01'), Synset('tropical.s.01'), Synset('rain.n.01'), Synset('forest.n.01'), None, None, Synset('case.n.01'), Synset('import.v.01'), Synset('endemic.a.01'), Synset('state.n.04'), None, None, Synset('switzerland.n.01'), Synset('lab.n.01'), Synset('infection.n.01'), Synset('happen.v.01'), None, Synset('soviet_union.n.01')]"
81,hantaviral disease new world,first hantavirus found new world sin nombre virus ‘four corners’ area usa 1993 outbreak occurred severe pulmonary disease previously healthy adults seropositives humans rattus norvegicus found many port cities americas spread shipping without evidence disease,fever myalgia gi pain followed sudden onset respiratory distress hypotension rapid progression respiratory failure shock convalescence prolonged cfr 35–60,inhalation aerosols dried rodent excreta unlike bunyaviruses generally arthropodborne,hantaviruses large group different enveloped singlestranded negativesense viruses tripartite rna genome belong bunyaviridae family,typically 2 weeks days 6 weeks,serology igm elisa western blot strip immunoblot ifa rtpcr biopsy material,"['first', 'hantavirus', 'found', 'new', 'world', 'sin', 'nombre', 'virus', '‘', 'four', 'corners', '’', 'area', 'usa', '1993', 'outbreak', 'occurred', 'severe', 'pulmonary', 'disease', 'previously', 'healthy', 'adults', 'seropositives', 'humans', 'rattus', 'norvegicus', 'found', 'many', 'port', 'cities', 'americas', 'spread', 'shipping', 'without', 'evidence', 'disease']","[('first', 'RB'), ('hantavirus', 'NN'), ('found', 'VBD'), ('new', 'JJ'), ('world', 'NN'), ('sin', 'NN'), ('nombre', 'NN'), ('virus', 'NN'), ('‘', 'NNP'), ('four', 'CD'), ('corners', 'NNS'), ('’', 'VBP'), ('area', 'NN'), ('usa', 'JJ'), ('1993', 'CD'), ('outbreak', 'NN'), ('occurred', 'VBD'), ('severe', 'JJ'), ('pulmonary', 'JJ'), ('disease', 'NN'), ('previously', 'RB'), ('healthy', 'JJ'), ('adults', 'NNS'), ('seropositives', 'NNS'), ('humans', 'NNS'), ('rattus', 'VBP'), ('norvegicus', 'RB'), ('found', 'VBN'), ('many', 'JJ'), ('port', 'NN'), ('cities', 'NNS'), ('americas', 'VBP'), ('spread', 'JJ'), ('shipping', 'NN'), ('without', 'IN'), ('evidence', 'NN'), ('disease', 'NN')]","[Synset('first.r.01'), None, Synset('establish.v.01'), Synset('new.a.01'), Synset('universe.n.01'), Synset('sin.n.01'), None, Synset('virus.n.01'), None, None, Synset('corner.n.01'), None, Synset('area.n.01'), None, None, Synset('outbreak.n.01'), Synset('happen.v.01'), Synset('severe.s.01'), Synset('pneumonic.a.02'), Synset('disease.n.01'), Synset('previously.r.01'), Synset('healthy.a.01'), Synset('adult.n.01'), None, Synset('world.n.08'), None, None, Synset('establish.v.01'), Synset('many.a.01'), Synset('port.n.01'), Synset('city.n.01'), None, Synset('dispersed.s.01'), Synset('transportation.n.05'), None, Synset('evidence.n.01'), Synset('disease.n.01')]"
82,hantaviral disease old world,approximately 150000 200000 patients hfrs hospitalized year throughout world half china prevalent hantaviral disease western central europe caused puuv 9000 cases per year dobv restricted balkans,fever headache malaise anorexia severe abdominal lower back pain often nausea vomiting followed hypotension may progress shock hemorrhages renal involvement death,inhalation aerosols dried rodent excreta,hantaviruses named hantan river area south korea first hantavirus hantaan isolated 1970s,usually 2–4 weeks days 2 months,serology igm elisa ifa rtpcr,"['approximately', '150000', '200000', 'patients', 'hfrs', 'hospitalized', 'year', 'throughout', 'world', 'half', 'china', 'prevalent', 'hantaviral', 'disease', 'western', 'central', 'europe', 'caused', 'puuv', '9000', 'cases', 'per', 'year', 'dobv', 'restricted', 'balkans']","[('approximately', 'RB'), ('150000', 'CD'), ('200000', 'CD'), ('patients', 'NNS'), ('hfrs', 'RBR'), ('hospitalized', 'VBN'), ('year', 'NN'), ('throughout', 'IN'), ('world', 'NN'), ('half', 'NN'), ('china', 'JJ'), ('prevalent', 'JJ'), ('hantaviral', 'JJ'), ('disease', 'NN'), ('western', 'JJ'), ('central', 'JJ'), ('europe', 'NN'), ('caused', 'VBD'), ('puuv', 'NN'), ('9000', 'CD'), ('cases', 'NNS'), ('per', 'IN'), ('year', 'NN'), ('dobv', 'NN'), ('restricted', 'VBD'), ('balkans', 'NNS')]","[Synset('approximately.r.01'), None, None, Synset('patient.n.01'), None, Synset('hospitalize.v.01'), Synset('year.n.01'), None, Synset('universe.n.01'), Synset('one-half.n.01'), None, Synset('prevailing.s.01'), None, Synset('disease.n.01'), Synset('western.a.01'), Synset('cardinal.s.01'), Synset('europe.n.01'), Synset('cause.v.01'), None, None, Synset('case.n.01'), None, Synset('year.n.01'), None, Synset('restrict.v.01'), Synset('balkans.n.01')]"
